MSB_5,U6_333,GWM_3,GAR_05,U6_305,U8_1045,MPG_53,Poststrasse,U6_310,MPG_40,MPG_26,MPG_42,34
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468.88,471.379375,471.047125,473.7599167,475.9224167,476.8112083,476.944875,478.0380417,478.1064167,478.4325417,478.2191667,478.8932083,480.4903333
468.873875,471.3727083,471.03425,473.7519167,475.9165,476.802375,476.94225,478.0317083,478.0959167,478.4234583,478.210375,478.883375,480.4814583
468.8680833,471.3662917,471.0270417,473.7440833,475.9105833,476.7947917,476.9357917,478.025375,478.0865,478.4147083,478.201125,478.8734583,480.472125
468.8632917,471.3574583,471.0136667,473.7340417,475.904875,476.787125,476.9240833,478.0193333,478.077,478.4051667,478.190375,478.8643333,480.4629167
468.8581667,471.3520417,471.0019583,473.726125,475.9060417,476.78625,476.9168333,478.0204167,478.0780417,478.3981667,478.1817083,478.8554583,480.4548333
468.8534583,471.3587083,470.9723333,473.7167917,475.8977917,476.7754583,476.90625,478.014,478.0675417,478.388125,478.1724583,478.846875,480.4464583
468.85075,471.36775,470.9390833,473.7082083,475.8921667,476.7652917,476.8955833,478.0078333,478.0571667,478.3778333,478.1631667,478.8379167,480.4377917
468.8500833,471.368625,470.9125,473.7075833,475.888375,476.75525,476.8865,478.0011667,478.0473333,478.3682083,478.1535,478.8295417,480.4310417
468.874,471.414875,470.9508333,473.7157083,475.93125,476.783625,476.8960833,478.0365417,478.0935417,478.3762083,478.154875,478.8229583,480.4287917
468.8889583,471.4812917,470.926625,473.7086667,475.9257083,476.781125,476.8917917,478.0450833,478.1012083,478.36875,478.1493333,478.818875,480.4288333
468.9060833,471.4855417,470.9018333,473.6977083,475.9107917,476.7687083,476.8790833,478.0371667,478.0838333,478.359,478.1429167,478.8137917,480.4238333
468.9232083,471.4941667,470.8936667,473.6904167,475.9163333,476.768375,476.873875,478.040375,478.0854167,478.3558333,478.14075,478.809125,480.4171667
468.931,471.498,470.884375,473.6819583,475.9174583,476.7660417,476.870125,478.0455417,478.0900833,478.3531667,478.1387917,478.80475,480.41075
